pay_stay_zone,street,between_street_1,between_street_2,street_segment_id
30001001,ARGYLE PLACE SOUTH,LYGON STREET,CARDIGAN STREET,20751
30001002,BARRY STREET,LEICESTER STREET,PELHAM STREET,20476
30001003,BARRY STREET,PELHAM STREET,LEICESTER STREET,20476
30001005,BARRY STREET,GRATTAN STREET,PELHAM STREET,20480
30001006,BARRY STREET,PELHAM STREET,GRATTAN STREET,20480
30001007,BARRY STREET,PELHAM STREET,LEICESTER STREET,20476
30001008,BARRY STREET,LEICESTER STREET,PELHAM STREET,20476
30001009,BERKELEY STREET,GRATTAN STREET,PELHAM STREET,20474
30001010,BERKELEY STREET,LEICESTER STREET,QUEENSBERRY STREET,20456
30001012,BERKELEY STREET,PELHAM STREET,QUEENSBERRY STREET,20472
30001014,BOUVERIE STREET,GRATTAN STREET,LINCOLN SQUARE NORTH,20468
30001015,BOUVERIE STREET,LINCOLN SQUARE SOUTH,PELHAM STREET,22503
30001016,BOUVERIE STREET,LINCOLN SQUARE NORTH,GRATTAN STREET,20468
30001015,BOUVERIE STREET,LINCOLN SQUARE NORTH,PELHAM STREET,22504
30001015,BOUVERIE STREET,QUEENSBERRY STREET,LINCOLN SQUARE SOUTH,20464
30001019,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462
30001020,BOUVERIE STREET,LINCOLN SQUARE SOUTH,QUEENSBERRY STREET,20464
30001021,BOUVERIE STREET,QUEENSBERRY STREET,LINCOLN SQUARE SOUTH,20464
30001022,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462
30001023,LEICESTER STREET,VICTORIA STREET,BERKELEY STREET,20453
30001023,LEICESTER STREET,BERKELEY STREET,QUEENSBERRY STREET,20455
30001024,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462
30001025,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462
30001026,BOUVERIE STREET,VICTORIA STREET,QUEENSBERRY STREET,20462
30001027,BOUVERIE STREET,QUEENSBERRY STREET,VICTORIA STREET,20462
30001028,CARDIGAN STREET,ARGYLE PLACE NORTH,GRATTAN STREET,20512
30001029,CARDIGAN STREET,GRATTAN STREET,ARGYLE PLACE NORTH,20512
30001030,CARDIGAN STREET,ARGYLE PLACE SOUTH,PELHAM STREET,20508
30001031,CARDIGAN STREET,PELHAM STREET,ARGYLE PLACE SOUTH,20508
30001031,CARDIGAN STREET,ARGYLE PLACE NORTH,PELHAM STREET,20509
30001033,CARDIGAN STREET,ARGYLE PLACE NORTH,PELHAM STREET,20509
30001034,CARDIGAN STREET,FARADAY STREET,GRATTAN STREET,20514
30001035,CARDIGAN STREET,QUEENSBERRY STREET,VICTORIA STREET,20504
30001036,CARDIGAN STREET,GRATTAN STREET,FARADAY STREET,20514
30001040,CARDIGAN STREET,ARGYLE PLACE SOUTH,QUEENSBERRY STREET,20506
30001041,CARDIGAN STREET,QUEENSBERRY STREET,ARGYLE PLACE SOUTH,20506
30001042,CARDIGAN STREET,VICTORIA STREET,QUEENSBERRY STREET,20504
30001043,CARDIGAN STREET,VICTORIA STREET,QUEENSBERRY STREET,20504
30001044,CEMETERY ROAD EAST,CARDIGAN STREET ,LYGON STREET,15514
30001044,CEMETERY ROAD EAST ,CARDIGAN STREET ,SWANSTON STREET,15500
30001045,FARADAY STREET,SWANSTON STREET,CARDIGAN STREET,20812
30001046,GRATTAN STREET,BOUVERIE STREET,LEICESTER STREET,20848
30001047,GRATTAN STREET,SWANSTON STREET,CARDIGAN STREET,22506
30001048,GRATTAN STREET,CARDIGAN STREET,LYGON STREET,20757
30001049,KAY STREET,CANNING STREET,RATHDOWNE STREET,20573
30001050,LEICESTER STREET,BERKELEY STREET,QUEENSBERRY STREET,20455
30001051,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460
30001052,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460
30001053,KAY STREET,CANNING STREET,RATHDOWNE STREET,20573
30001054,LEICESTER STREET,GRATTAN STREET,PELHAM STREET,20460
30001055,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001056,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001057,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001058,LEICESTER STREET,PELHAM STREET,QUEENSBERRY STREET,20458
30001059,LINCOLN SQUARE SOUTH,SWANSTON STREET,BOUVERIE STREET,20838
30001060,LINCOLN SQUARE NORTH,SWANSTON STREET,BOUVERIE STREET,20839
30001061,LINCOLN SQUARE NORTH,SWANSTON STREET,BOUVERIE STREET,20839
30001062,LINCOLN SQUARE SOUTH,BOUVERIE STREET,SWANSTON STREET,20838
30001064,LINCOLN SQUARE SOUTH,BOUVERIE STREET,SWANSTON STREET,20838
30001065,LYGON STREET,ARGYLE PLACE NORTH,PELHAM STREET,20528
30001066,LYGON STREET,QUEENSBERRY STREET,ARGYLE PLACE SOUTH,20524
30001067,LYGON STREET ,ARGYLE SQUARE NORTH,ARGYLE SQUARE SOUTH,15511
30001068,LYGON STREET,FARADAY STREET,ELGIN STREET,20534
30001069,LYGON STREET,GRATTAN STREET,FARADAY STREET,20532
30001070,SPRING STREET,COLLINS STREET,FLINDERS LANE,20198
30001071,LYGON STREET,PELHAM STREET,ARGYLE PLACE SOUTH,20526
30001072,LYGON STREET,GRATTAN STREET,ARGYLE PLACE NORTH,20530
30001072,LYGON STREET ,PELHAM STREET,GRATTAN STREET,15512
30001073,LYGON STREET,PALMERSTON STREET,ELGIN STREET,20536
30001074,LYGON STREET,PRINCES STREET,LYTTON STREET,20540
30001075,LYGON STREET ,QUEENSBERRY STREET ,PELHAM STREET,15510
30001076,LYGON STREET,QUEENSBERRY STREET,VICTORIA STREET,20522
30001077,LYTTON STREET,LYGON STREET,CARDIGAN STREET,20771
30001078,MACARTHUR PLACE NORTH,RATHDOWNE STREET,CANNING STREET,20670
30001079,MACARTHUR PLACE SOUTH,CANNING STREET,RATHDOWNE STREET,20671
30001081,NICHOLSON STREET,VICTORIA STREET,CARLTON STREET,22501
30001082,NICHOLSON STREET,CARLTON STREET,VICTORIA STREET,22501
30001083,PELHAM STREET,BARRY STREET,BERKELEY STREET,20477
30001084,PELHAM STREET,BOUVERIE STREET,LEICESTER STREET,20873
30001085,PELHAM STREET,CARDIGAN STREET,SWANSTON STREET,20806
30001086,PELHAM STREET,SWANSTON STREET,CARDIGAN STREET,20806
30001087,PELHAM STREET,CARDIGAN STREET,SWANSTON STREET,20806
30001088,PELHAM STREET,CARDIGAN STREET,SWANSTON STREET,20806
30001089,PELHAM STREET,DRUMMOND STREET,LYGON STREET,21557
30001090,PELHAM STREET,DRUMMOND STREET,RATHDOWNE STREET,21556
30001091,PELHAM STREET,LEICESTER STREET,BARRY STREET,20479
30001092,PELHAM STREET,RATHDOWNE STREET,DRUMMOND STREET,21556
30001093,QUEENSBERRY STREET,BOUVERIE STREET,LEICESTER STREET,20868
30001094,QUEENSBERRY STREET,LYGON STREET,CARDIGAN STREET,22499
30001095,QUEENSBERRY STREET,SWANSTON STREET,CARDIGAN STREET,22500
30001096,QUEENSBERRY STREET,CARDIGAN STREET,SWANSTON STREET,22500
30001097,QUEENSBERRY STREET,LYGON STREET,DRUMMOND STREET,22498
30001098,QUEENSBERRY STREET,DRUMMOND STREET,LYGON STREET,22498
30001099,QUEENSBERRY STREET,BERKELEY STREET,ELIZABETH STREET,20864
30001100,QUEENSBERRY STREET,RATHDOWNE STREET,DRUMMOND STREET,22497
30001101,QUEENSBERRY STREET,LEICESTER STREET,BERKELEY STREET,20471
30001102,QUEENSBERRY STREET,BOUVERIE STREET,LEICESTER STREET,20868
30001103,QUEENSBERRY STREET,LEICESTER STREET,BOUVERIE STREET,20868
30001104,QUEENSBERRY STREET,CARDIGAN STREET,LYGON STREET,22499
30001105,QUEENSBERRY STREET,CARDIGAN STREET,LYGON STREET,22499
30001106,QUEENSBERRY STREET,LYGON STREET,DRUMMOND STREET,22498
30001107,QUEENSBERRY STREET,RATHDOWNE STREET,DRUMMOND STREET,22497
30001108,QUEENSBERRY STREET,DRUMMOND STREET,RATHDOWNE STREET,22497
30001109,QUEENSBERRY STREET,SWANSTON STREET,BOUVERIE STREET,20829
30001110,QUEENSBERRY STREET,BOUVERIE STREET,SWANSTON STREET,20829
30001111,QUEENSBERRY STREET,SWANSTON STREET,CARDIGAN STREET,22500
30001112,RATHDOWNE STREET,PELHAM STREET,GRATTAN STREET,20558
30001113,RATHDOWNE STREET,PELHAM STREET,QUEENSBERRY STREET,20556
30001114,RATHDOWNE STREET,GRATTAN STREET,PELHAM STREET,20558
30001115,RATHDOWNE STREET,VICTORIA STREET,QUEENSBERRY STREET,20554
30001116,RATHDOWNE STREET,QUEENSBERRY STREET,VICTORIA STREET,20554
30001117,SWANSTON STREET,ELGIN STREET,COLLEGE CRESCENT,20494
30001118,SWANSTON STREET,GRATTAN STREET,LINCOLN SQUARE NORTH,20488
30001119,SWANSTON STREET,LINCOLN SQUARE NORTH,GRATTAN STREET,20488
30001120,SWANSTON STREET,LINCOLN SQUARE SOUTH,PELHAM STREET,20485
30001121,SWANSTON STREET,LINCOLN SQUARE SOUTH,QUEENSBERRY STREET,20484
30001122,SWANSTON STREET,QUEENSBERRY STREET,VICTORIA STREET,20482
30001124,VICTORIA STREET,ELIZABETH STREET,BOUVERIE STREET,21625
30001125,VICTORIA STREET,LYGON STREET,CARDIGAN STREET,21605
30001126,VICTORIA STREET,CARDIGAN STREET,LYGON STREET,21605
30001127,VICTORIA STREET,LYGON STREET,DRUMMOND STREET,21603
30001128,VICTORIA STREET,DRUMMOND STREET,RATHDOWNE STREET,21601
30001132,VICTORIA PARADE,NICHOLSON STREET,SPRING STREET,21596
30001133,VICTORIA STREET,RATHDOWNE STREET,DRUMMOND STREET,21601
30001134,VICTORIA STREET,SWANSTON STREET,CARDIGAN STREET,21607
30001135,VICTORIA STREET,SWANSTON STREET,BOUVERIE STREET,21623
30001136,ARGYLE PLACE SOUTH,LYGON STREET,CARDIGAN STREET,20751
30001137,BOWEN CRESCENT,GARTON STREET,PARK STREET,22396
30001138,BOWEN CRESCENT,PARK STREET,GARTON STREET,22396
30001140,CEMETERY ROAD WEST,COLLEGE CRESCENT,ROYAL PARADE,22375
30001141,CEMETERY ROAD,SWANSTON STREET,ROYAL PARADE,22373
30001142,CEMETERY ROAD EAST,COLLEGE CRESCENT,LYGON STREET,20773
30001143,GARTON STREET,MACPHERSON STREET,BOWEN CRESCENT,22511
30001146,LYGON STREET,PRINCES STREET,MACPHERSON STREET,22508
30001147,LYGON STREET ,MACPHERSON STREET,PRINCES STREET,22508
30001148,PARK STREET,ROYAL PARADE,BOWEN CRESCENT,22395
30001149,PRINCES PARK DRIVE,CEMETERY ROAD WEST,MACPHERSON STREET,22512
30001150,ROYAL PARADE,IEVERS STREET,WALKER STREET,22387
30001151,ROYAL PARADE,MACARTHUR ROAD,LEONARD STREET,22434
30001152,ROYAL PARADE,IEVERS STREET,PARK STREET,22393
30001153,ROYAL PARADE,LEONARD STREET,WALKER STREET,22435
30001154,ADDERLEY STREET,LA TROBE STREET,JEFFCOTT STREET,21504
30001156,AQUITANIA WAY,CARAVEL LANE,NEWQUAY PROMENADE,22787
30001157,AQUITANIA WAY,CARAVEL LANE,DOCKLANDS DRIVE,22786
30001158,AUGUSTA AVENUE,PEARL RIVER ROAD,WATTLE ROAD,23275
30001159,AURORA LANE,BOURKE STREET,COLLINS STREET,22822
30001160,AURORA LANE,COLLINS STREET,BOURKE STREET,22822
30001161,AURORA LANE,COLLINS STREET,WURUNDJERI WAY,22899
30001162,AURORA LANE,WURUNDJERI WAY,COLLINS STREET,22899
30001163,BATMANS HILL DRIVE,BOURKE STREET,COLLINS STREET,22802
30001164,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801
30001165,BOURKE STREET,WURUNDJERI WAY,HARBOUR ESPLANADE,22553
30001166,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801
30001167,BOURKE STREET,CUMBERLAND STREET,COLLINS STREET,23293
30001168,BOURKE STREET,ENTERPRIZE WAY,HARBOUR ESPLANADE,22801
30001170,BOURKE STREET,CUMBERLAND STREET,ENTERPRIZE WAY,22913
30001171,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801
30001172,BOURKE STREET,ENTERPRIZE WAY,CUMBERLAND STREET,22913
30001173,BOURKE STREET,HARBOUR ESPLANADE,ENTERPRIZE WAY,22801
30001174,BOURKE STREET,ENTERPRIZE WAY,HARBOUR ESPLANADE,22801
30001176,BOURKE STREET,CUMBERLAND STREET,ENTERPRIZE WAY,22913
30001177,BOURKE STREET,ENTERPRIZE WAY,CUMBERLAND STREET,22913
30001178,BOURKE STREET,CUMBERLAND STREET,ENTERPRIZE WAY,22913
30001179,BOURKE STREET,ENTERPRIZE WAY,CUMBERLAND STREET,22913
30001181,BOURKE STREET,HARBOUR ESPLANADE,WURUNDJERI WAY,22553
30001183,COLLINS STREET,SPENCER STREET,BATMANS HILL DRIVE,22819
30001184,COLLINS STREET,HARBOUR ESPLANADE,NAVIGATION DRIVE,23308
30001185,COLLINS STREET,NAVIGATION DRIVE,MERCHANT STREET,22956
30001186,COLLINS STREET,MERCHANT STREET,SEAFARER LANE,23311
30001187,COLLINS STREET,SEAFARER LANE,MERCHANT STREET,23311
30001188,COLLINS STREET,BATMANS HILL DRIVE,HARBOUR ESPLANADE,22906
30001189,COLLINS STREET,SPENCER STREET,BATMANS HILL DRIVE,22819
30001190,CUMBERLAND STREET,BOURKE STREET,VICTORIA HARBOUR PROMENADE,22914
30001191,DOCKLANDS DRIVE,SAINT MANGOS LANE,WATERFRONT WAY,23252
30001192,DOCKLANDS DRIVE,PEARL RIVER ROAD,WESTERN LINK ROAD,23256
30001193,DOEPEL WAY,DOCKLANDS DRIVE,NEWQUAY PROMENADE,22855
30001194,ENTERPRIZE WAY,BOURKE STREET,WATERFRONT WAY,22898
30001196,FISHPLATE LANE,BATMANS HILL DRIVE,VILLAGE STREET,22942
30001197,GEOGRAPHE STREET,BOURKE STREET,KEERA WAY,23032
30001198,GEOGRAPHE STREET,KEERA WAY,BOURKE STREET,23032
30001199,GEOGRAPHE STREET,BOURKE STREET,KEERA WAY,23032
30001200,GEORGIANA STREET,MCCRAE STREET,COLLINS STREET,22896
30001201,GRATTAN STREET,CARDIGAN STREET,SWANSTON STREET,22506
30001202,HARBOUR ESPLANADE,COLLINS STREET,BOURKE STREET,22448
30001203,HARBOUR ESPLANADE,COLLINS STREET,NORTH WHARF ROAD,22954
30001204,HARBOUR ESPLANADE,NORTH WHARF ROAD,COLLINS STREET,22954
30001205,HARBOUR ESPLANADE,LA TROBE STREET,BOURKE STREET,22452
30001206,FRANKLIN STREET,ELIZABETH STREET,QUEEN STREET,21634
30001207,IMPORT LANE,BOURKE STREET,COLLINS STREET,23062
30001208,KARLSRUHE LANE,COLLINS STREET,KEERA WAY,23246
30001209,LEVEN AVENUE,PEARL RIVER ROAD,WATTLE ROAD,23277
30001211,MCCRAE STREET,WURUNDJERI WAY,BATMANS HILL DRIVE,22862
30001212,MERCHANT STREET,BOURKE STREET,VICTORIA HARBOUR PROMENADE,22915
30001213,MERCHANT STREET,BOURKE STREET,COLLINS STREET,23151
30001214,NAVIGATION DRIVE,BOURKE STREET,COLLINS STREET,23033
30001215,NAVIGATION DRIVE,COLLINS STREET,HARBOUR ESPLANADE,23236
30001216,NAVIGATION DRIVE,COLLINS STREET,BOURKE STREET,23033
30001217,PEARL RIVER ROAD,DOCKLANDS DRIVE,VICTORIA HARBOUR,22908
30001218,PEARL RIVER ROAD,VICTORIA HARBOUR,DOCKLANDS DRIVE,22908
30001219,SIDDELEY STREET,SPENCER STREET,WURUNDJERI WAY,22445
30001220,PEARL RIVER ROAD,FOOTSCRAY ROAD,DOCKLANDS DRIVE,23224
30001221,POINT PARK CRESCENT,LORIMER STREET,SOUTH WHARF DRIVE,22951
30001222,SEAFARER LANE,BOURKE STREET,,23063
30001223,SIDDELEY STREET,SPENCER STREET,WURUNDJERI WAY,22445
30001224,SPENCER STREET,FLINDERS STREET,FLINDERS LANE,20067
30001226,SAINT MANGOS LANE NORTH,DOCKLANDS DRIVE,,23267
30001227,VILLAGE STREET,COLLINS STREET,BOURKE STREET,22941
30001228,VILLAGE STREET,BOURKE STREET,COLLINS STREET,22941
30001229,VILLAGE STREET,MCCRAE STREET,COLLINS STREET,22894
30001230,VILLAGE STREET,COLLINS STREET,MCCRAE STREET,22894
30001231,WATERFRONT WAY,FOOTSCRAY ROAD,DOCKLANDS DRIVE,23225
30001232,WATERFRONT WAY,DOCKLANDS DRIVE,FOOTSCRAY ROAD,23225
30001233,WATTLE ROAD,DOCKLANDS DRIVE,NEWQUAY PROMENADE,23274
30001234,ALBERT STREET,CLARENDON STREET,EADES STREET,20898
30001235,ALBERT STREET,EADES STREET,CLARENDON STREET,20898
30001236,ALBERT STREET,GISBORNE STREET,MORRISON PLACE,22619
30001236,ALBERT STREET,MORRISON PLACE,LANSDOWNE STREET,20891
30001236,ALBERT STREET,EADES STREET,LANSDOWNE STREET,20893
30001237,ALBERT STREET,CLARENDON STREET,EADES STREET,20898
30001238,ALBERT STREET,POWLETT STREET,CLARENDON STREET,21587
30001239,ALBERT STREET,LANSDOWNE STREET,EADES STREET,20893
30001240,LA TROBE STREET,Wurundjeri Way,Harbour Esplanade,22549
30001241,ALBERT STREET,HODDLE STREET,SIMPSON STREET,21573
30001242,ALBERT STREET,SIMPSON STREET,HODDLE STREET,21573
30001244,ALBERT STREET,NICHOLSON STREET,GISBORNE STREET,20889
30001245,ALBERT STREET,SPRING STREET,NICHOLSON STREET,20886
30001245,ALBERT STREET,GISBORNE STREET,NICHOLSON STREET,20889
30001246,ALBERT STREET,POWLETT STREET,SIMPSON STREET,21580
30001247,CATHEDRAL PLACE,LANSDOWNE STREET,GISBORNE STREET,21851
30001248,CATHEDRAL PLACE,GISBORNE STREET,LANSDOWNE STREET,21851
30001249,SPENCER STREET,FLINDERS STREET,SPENCER STREET BRIDGE,22174
30001250,CLARENDON STREET,GIPPS STREET,GREY STREET,22622
30001250,CLARENDON STREET,WELLINGTON PARADE,GEORGE STREET,21937
30001250,CLARENDON STREET,HOTHAM STREET,GEORGE STREET,21932
30001250,CLARENDON STREET,HOTHAM STREET,GIPPS STREET,21902
30001250,CLARENDON STREET,GREY STREET,ALBERT STREET,21860
30001251,EADES STREET,VICTORIA PARADE,ALBERT STREET,20897
30001252,EVELYN PLACE,NICHOLSON STREET,ALBERT STREET,21561
30001253,GISBORNE STREET,CATHEDRAL PLACE,ALBERT STREET,21849
30001254,GISBORNE STREET,VICTORIA PARADE,ALBERT STREET,20895
30001255,GREY STREET,SIMPSON STREET,POWLETT STREET,21866
30001256,LANSDOWNE STREET,ST ANDREWS PLACE,CATHEDRAL PLACE,21857
30001257,LANSDOWNE STREET,CATHEDRAL PLACE,ALBERT STREET,21850
30001258,LANSDOWNE STREET,VICTORIA PARADE,ALBERT STREET,20896
30001259,LANSDOWNE STREET,CATHEDRAL PLACE,ST ANDREWS PLACE,21857
30001260,LANSDOWNE STREET,ALBERT STREET,VICTORIA PARADE,20896
30001256,LANSDOWNE STREET,WELLINGTON PARADE,ST ANDREWS PLACE,21859
30001262,LANSDOWNE STREET,ST ANDREWS PLACE,WELLINGTON PARADE,21859
30001263,LANSDOWNE STREET,CATHEDRAL PLACE,ST ANDREWS PLACE,21850
30001264,LANSDOWNE STREET,ST ANDREWS PLACE,WELLINGTON PARADE,21859
30001265,NICHOLSON STREET,SPRING STREET,ALBERT STREET,21553
30001266,NICHOLSON STREET,ALBERT STREET,VICTORIA STREET,21554
30001268,NICHOLSON STREET,VICTORIA STREET,ALBERT STREET,21554
30001269,PARLIAMENT PLACE,ST ANDREWS PLACE,GISBORNE STREET,21852
30001270,POWLETT STREET,GREY STREET,ALBERT STREET,21863
30001271,SIMPSON STREET,GREY STREET,ALBERT STREET,21867
30001272,SPRING STREET,FLINDERS STREET,FLINDERS LANE,20196
30001278,ST ANDREWS PLACE,LANSDOWNE STREET,MACARTHUR STREET,21855
30001279,ST ANDREWS PLACE,MACARTHUR STREET,LANSDOWNE STREET,21855
30001280,ST ANDREWS PLACE,MACARTHUR STREET,LANSDOWNE STREET,21855
30001282,BRENTANI WAY,VILLAGE STREET,GEORGIANA STREET,22895
30001284,VICTORIA PARADE,NICHOLSON STREET,GISBORNE STREET,21560
30001285,VICTORIA PARADE,GISBORNE STREET,NICHOLSON STREET,21560
30001286,VICTORIA PARADE,CLARENDON STREET,EADES STREET,21594
30001287,VICTORIA PARADE,HODDLE STREET,SIMPSON STREET,22000
30001288,VICTORIA PARADE,MORRISON PLACE,LANSDOWNE STREET,21566
30001289,VICTORIA PARADE,EADES STREET,LANSDOWNE STREET,21595
30001290,VICTORIA PARADE,NICHOLSON STREET,SPRING STREET,21596
30001296,VICTORIA PARADE,LANSDOWNE STREET,EADES STREET,21595
30001297,VICTORIA PARADE,SPRING STREET,NICHOLSON STREET,21596
30001298,WELLINGTON PARADE,CLARENDON STREET,JOLIMONT ROAD,21963
30001299,WELLINGTON PARADE,LANSDOWNE STREET,SPRING STREET,21967
30001300,WELLINGTON PARADE SOUTH,WELLINGTON CRESCENT,FLINDERS STREET,22630
30001301,WELLINGTON PARADE SOUTH,JOLIMONT ROAD,WELLINGTON CRESCENT,21968
30001302,JOLIMONT TERRACE,WELLINGTON PARADE SOUTH,JOLIMONT STREET,21982
30001303,DALLAS BROOKS DRIVE,BIRDWOOD AVENUE,DOMAIN ROAD,22469
30001304,WELLINGTON PARADE,JOLIMONT ROAD,CLARENDON STREET,21963
30001305,WELLINGTON PARADE SOUTH,AGNES STREET,JOLIMONT ROAD,22631
30001306,A'BECKETT STREET,ELIZABETH STREET,QUEEN STREET,21649
30001307,A'BECKETT STREET,QUEEN STREET,ELIZABETH STREET,21649
30001308,A'BECKETT STREET,WILLS STREET,QUEEN STREET,21524
30001309,A'BECKETT STREET,QUEEN STREET,ELIZABETH STREET,21649
30001310,A'BECKETT STREET,WILLS STREET,WILLIAM STREET,22653
30001311,A'BECKETT STREET,QUEEN STREET,WILLIAM STREET,16000
30001312,A'BECKETT STREET,ELIZABETH STREET,SWANSTON STREET,21643
30001313,A'BECKETT STREET,SWANSTON STREET,ELIZABETH STREET,21643
30001314,ELIZABETH STREET,FRANKLIN STREET,THERRY STREET,21631
30001315,A'BECKETT STREET,SWANSTON STREET,ELIZABETH STREET,21643
30001316,ALEXANDRA AVENUE,SWAN STREET BRIDGE,ANDERSON STREET,22492
30001317,ALEXANDRA AVENUE,ANDERSON STREET,SWAN STREET BRIDGE,22492
30001318,BERKELEY STREET,PELHAM STREET,GRATTAN STREET,20474
30001319,BERKELEY STREET,LEICESTER STREET,QUEENSBERRY STREET,20456
30001320,BERKELEY STREET,GRATTAN STREET,PELHAM STREET,20474
30001322,BIRDWOOD AVENUE,DOMAIN ROAD,DALLAS BROOKS DRIVE,22706
30001323,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,DOMAIN ROAD,22706
30001324,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,ANZAC AVENUE,22198
30001325,BIRDWOOD AVENUE,ANZAC AVENUE,DALLAS BROOKS DRIVE,22198
30001326,BIRDWOOD AVENUE,DOMAIN ROAD,DALLAS BROOKS DRIVE,22706
30001327,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,DOMAIN ROAD,22706
30001328,BIRDWOOD AVENUE,DALLAS BROOKS DRIVE,ANZAC AVENUE,22198
30001329,BIRDWOOD AVENUE,ANZAC AVENUE,DALLAS BROOKS DRIVE,22198
30001330,BOATHOUSE DRIVE,ALEXANDRA AVENUE,ST KILDA ROAD,22188
30001331,BOND STREET,FLINDERS STREET,FLINDERS LANE,20394
30001332,BOURKE STREET,QUEEN STREET,WILLIAM STREET,20086
30001333,BOURKE STREET,EXHIBITION STREET,RUSSELL STREET,20078
30001334,BOURKE STREET,RUSSELL STREET,EXHIBITION STREET,20078
30001335,BOURKE STREET,KING STREET,SPENCER STREET,20090
30001336,BOURKE STREET,KING STREET,WILLIAM STREET,20088
30001337,BOURKE STREET,SPENCER STREET,KING STREET,20090
30001338,BOURKE STREET,WILLIAM STREET,QUEEN STREET,20086
30001339,BOURKE STREET,WILLIAM STREET,QUEEN STREET,20086
30001341,FLINDERS LANE,ELIZABETH STREET,QUEEN STREET,20129
